Velocity;Left;Left45;Front;Right45;Right;Rotation
33.7371;5.7801;7.7443;11.2137;2.4927;2.0194;8
29.9489;5.8603;7.6491;11.0137;2.4955;1.9552;8
40.5557;5.912;7.554;10.8137;2.5003;1.9074;8
36.9343;5.9585;7.4588;10.6137;2.5051;1.8597;8
36.0214;6.005;7.3486;10.4137;2.5099;1.8119;8
30.791;6.0515;7.2339;10.2137;3.055;1.7779;7
34.7734;6.1668;7.1832;10.2687;2.9617;1.7566;7
36.0281;6.2223;7.1452;10.3268;2.8307;1.7306;7
35.3148;6.2833;7.1001;10.4044;2.6445;1.6998;7
36.7021;6.3564;7.0499;10.4985;2.4508;1.6641;7
40.0058;6.4205;7.0123;10.5971;2.6921;1.6235;7
31.2996;6.4983;6.9776;10.719;2.6227;1.5806;7
36.4552;6.5276;6.9364;10.8793;2.5511;1.5352;7
44.1535;6.5287;6.9079;11.0908;2.4776;1.4843;7
41.1532;6.5431;6.8903;11.405;2.4022;1.4279;7
30.9176;6.528;6.8634;11.9411;2.3252;1.3655;7
39.759;6.4904;6.8495;27.1625;2.176;1.2969;7
17.6249;6.4675;6.7544;26.9625;2.3521;1.5096;8
38.1544;6.4446;6.6594;26.7625;2.4468;1.498;8
25.8759;6.4196;6.5643;26.5625;2.5415;1.4864;8
28.499;6.3699;6.4634;26.3625;2.3153;1.4929;8
27.7508;6.3202;6.3603;26.1625;2.8358;1.5171;8
21.6566;6.2431;6.3334;27.6643;2.7621;1.5168;7
36.2016;6.1782;6.3189;29.0876;2.6869;1.5116;7
32.4524;6.09;6.3146;30.4549;2.6103;1.5015;7
31.7721;6.0161;6.3039;32.0951;2.5323;1.4939;7
32.8761;5.9559;6.3062;58.3379;2.4081;1.4931;7
28.2642;5.8805;6.3218;57.8526;2.1639;1.4873;7
38.4724;5.8182;6.3405;57.1333;2.3161;1.4766;7
24.9337;5.7691;6.3621;44.162;2.2425;1.461;8
27.041;5.7317;6.2833;43.962;2.2932;1.4585;8
